EMP5593_E[0].Page1[0].txtF_Emp_ID[0],12345678,TextBoxField
EMP5593_E[0].Page1[0].txtF_Bus_Number1[0],863900452,TextBoxField
EMP5593_E[0].Page1[0].txtF_Bus_Name[0],Leivaire Inc.,TextBoxField
EMP5593_E[0].Page1[0].txtF_Emp_Legal[0],Leivaire Inc.,TextBoxField
EMP5593_E[0].Page1[0].txtF_Mail_Adress[0],302-3601 Hwy 7 East,TextBoxField
EMP5593_E[0].Page1[0].txtF_City[0],Markham,TextBoxField
EMP5593_E[0].Page1[0].txtF_City[1],416-218-8386,TextBoxField
EMP5593_E[0].Page1[0].txtF_Province[0],ON,TextBoxField
EMP5593_E[0].Page1[0].txtF_Country[0],L3R 0M3,TextBoxField
EMP5593_E[0].Page1[0].txtF_Postal_Code[0],Canada,TextBoxField
EMP5593_E[0].Page1[0].txtF_City[2],302-3601 Hwy 7 East,TextBoxField
EMP5593_E[0].Page1[0].rb_skilled_trades[0],1,RadioButtonField
EMP5593_E[0].Page1[0].txtF_if_yes[0],,TextBoxField
EMP5593_E[0].Page1[0].rb_LMIA[0],1,RadioButtonField
EMP5593_E[0].Page2[0].rb_Using_a_Third_party[0],0,RadioButtonField
EMP5593_E[0].Page2[0].txtF_Name_of_third_party_recruiter[0],,TextBoxField
EMP5593_E[0].Page2[0].txtF_Registration_Number[0],,TextBoxField
EMP5593_E[0].Page2[0].rb_Appointing_a_Third_party_Rep[0],1,RadioButtonField
EMP5593_E[0].Page2[0].txtF_Name_of_third_party_rep[0],Xiangyang Zhang,TextBoxField
EMP5593_E[0].Page2[0].rb_Question6_E[0],1,RadioButtonField
EMP5593_E[0].Page2[0].txtF_Contact_Tel[0],416-629-9288,TextBoxField
EMP5593_E[0].Page2[0].txtF_Fax[0],416-218-8385,TextBoxField
EMP5593_E[0].Page2[0].txtF_Email[0],margaret@leivaire.com,TextBoxField
EMP5593_E[0].Page2[0].rb_language[0],0,RadioButtonField
EMP5593_E[0].Page2[0].txtF_Activity[0],Is a E-commerce company,TextBoxField
EMP5593_E[0].Page2[0].txtF_Prim_Contact_Name[0],Lei,TextBoxField
EMP5593_E[0].Page2[0].txtF_Prim_Contact_Middle[0],,TextBoxField
EMP5593_E[0].Page2[0].txtF_Prim_Contact_last_Name[0],Wang,TextBoxField
EMP5593_E[0].Page2[0].txtF_Job_Title[0],President,TextBoxField
EMP5593_E[0].Page2[0].txtF_Bus_Date[0],2002-05-28,TextBoxField
EMP5593_E[0].Page2[0].txtF_Web_Employer[0],http://www.leivaire.com,TextBoxField
EMP5593_E[0].Page2[0].txtF_Business_Activity[0],8,TextBoxField
EMP5593_E[0].Page2[0].txtF_Business_Activity[1],8,TextBoxField
EMP5593_E[0].Page2[0].txtF_Business_Activity[2],8,TextBoxField
EMP5593_E[0].Page2[0].rb_Question4[0],2,RadioButtonField
EMP5593_E[0].Page2[0].cb_Benefit_Dis_Ins[0],0,CheckboxField
EMP5593_E[0].Page2[0].cb_Benefit_Extended_Medical_Ins[0],0,CheckboxField
EMP5593_E[0].Page2[0].cb_Benefit_Dental_Ins[0],1,CheckboxField
EMP5593_E[0].Page2[0].cb_Benefit_Pension[0],0,CheckboxField
EMP5593_E[0].Page2[0].txtF_Other_Benefit[0],,TextBoxField
EMP5593_E[0].Page2[0].rb_Question4[1],0,RadioButtonField
EMP5593_E[0].Page2[0].txtF_Other_Benefit[1],,TextBoxField
EMP5593_E[0].Page2[0].txtF_Country[0],L3R 0M3,TextBoxField
EMP5593_E[0].Page2[0].txtF_Postal_Code[0],Canada,TextBoxField
EMP5593_E[0].Page2[0].txtF_Province[0],ON,TextBoxField
EMP5593_E[0].Page2[0].txtF_City[0],Markham,TextBoxField
EMP5593_E[0].Page3[0].rb_ForeignWorkerEmploy[0],0,RadioButtonField
EMP5593_E[0].Page3[0].rb_EmployeesLaidOff[0],0,RadioButtonField
EMP5593_E[0].Page3[0].rb_ForeignWorkerEmploy[1],,RadioButtonField
EMP5593_E[0].Page3[0].rb_EmployeesLaidOff[1],Off,RadioButtonField
EMP5593_E[0].Page3[0].rb_EmployeesLaidOff[2],Off,RadioButtonField
EMP5593_E[0].Page3[0].num_How_Many[0],,TextBoxField
EMP5593_E[0].Page3[0].num_How_Many[1],,TextBoxField
EMP5593_E[0].Page3[0].txtF_Reason_Of_Layoff[0],,TextBoxField
EMP5593_E[0].Page3[0].rb_Question4[0],Off,RadioButtonField
EMP5593_E[0].Page3[0].txtF_Other_Benefit[0],,TextBoxField
EMP5593_E[0].Page3[0].txtF_Job_Title[0],Gamification Designer,TextBoxField
EMP5593_E[0].Page3[0].txtF_Number_of_foreign_workers[0],1,TextBoxField
EMP5593_E[0].Page3[0].rb_GoCProgramSupport[0],0,RadioButtonField
EMP5593_E[0].Page3[0].txtF_Employer_Date_Business[0],,TextBoxField
EMP5593_E[0].Page3[0].num_How_Many[2],,TextBoxField
EMP5593_E[0].Page3[0].txtF_Program_Name[0],,TextBoxField
EMP5593_E[0].Page3[0].rb_EmployeesLaidOff[3],Off,RadioButtonField
EMP5593_E[0].Page3[0].txtF_Business_Activity[0],0,TextBoxField
